title;author;journal;year;source;pages;volume;document_type;doi;url;publisher;issn;status;
Solving Critical Events through Mobile Edge Computing: An Approach for Smart Cities;M. {Sapienza} and E. {Guardo} and M. {Cavallo} and G. {La Torre} and G. {Leombruno} and O. {Tomarchio};;2016;IEEE Digital Library;1-5;;inproceedings;10.1109/SMARTCOMP.2016.7501719;;;;Accepted;
Defense as a service cloud for Cyber-Physical Systems;M. {Azab} and M. {Eltoweissy};;2011;IEEE Digital Library;392-401;;inproceedings;10.4108/icst.collaboratecom.2011.247118;;;;Accepted;
Name-Centric Service Architecture for Cyber-Physical Systems (Short Paper);H. {Hellbrück} and T. {Teubler} and S. {Fischer};;2013;IEEE Digital Library;77-82;;inproceedings;10.1109/SOCA.2013.63;;;;Accepted;
A stabilizing architecture for cloud control system against Distributed Denial of Service (DDoS) attack;Y. {Ali} and X. {Yuanqing} and L. {Ma};;2017;IEEE Digital Library;3423-3428;;inproceedings;10.1109/CAC.2017.8243372;;;;Rejected;
An Improved Communications in Cyber Physical System Architecture, Protocols and Applications;E. S. {Madhan} and U. {Ghosh} and D. K. {Tosh} and K. {Mandal} and E. {Murali} and S. {Ghosh};;2019;IEEE Digital Library;1-6;;inproceedings;10.1109/SAHCN.2019.8824845;;;;Accepted;
Adaptive Service-Oriented Architectures for Cyber Physical Systems;S. K. {Mohalik} and N. C. {Narendra} and R. {Badrinath} and D. {Le};;2017;IEEE Digital Library;57-62;;inproceedings;10.1109/SOSE.2017.10;;;;Accepted;
Human-Enabled Edge Computing: Exploiting the Crowd as a Dynamic Extension of Mobile Edge Computing;P. {Bellavista} and S. {Chessa} and L. {Foschini} and L. {Gioia} and M. {Girolami};IEEE Communications Magazine;2018;IEEE Digital Library;145-155;56;article;10.1109/MCOM.2017.1700385;;;;Rejected;
Cloud-Assisted Dynamic Resilience for Cyber-Physical Control Systems;C. {Alcaraz};IEEE Wireless Communications;2018;IEEE Digital Library;76-82;25;article;10.1109/MWC.2018.1700231;;;;Accepted;
A Service-Based Approach to Designing Cyber Physical Systems;H. J. {La} and S. D. {Kim};;2010;IEEE Digital Library;895-900;;inproceedings;10.1109/ICIS.2010.73;;;;Duplicated;
A Novel Virtual Sensor Management Scheme for Manufacturing Network;C. {Gao} and Z. {Tian} and Y. {Chen} and Z. {Wang};;2018;IEEE Digital Library;29-35;;inproceedings;10.1109/NANA.2018.8648727;;;;Rejected;
WaaS: Wisdom as a Service;J. {Chen} and J. {Ma} and N. {Zhong} and Y. {Yao} and J. {Liu} and R. {Huang} and W. {Li} and Z. {Huang} and Y. {Gao} and J. {Cao};IEEE Intelligent Systems;2014;IEEE Digital Library;40-47;29;article;10.1109/MIS.2014.19;;;;Duplicated;
Participatory Cyber Physical System in Public Transport Application;J. K. S. {Lau} and C. {Tham} and T. {Luo};;2011;IEEE Digital Library;355-360;;inproceedings;10.1109/UCC.2011.59;;;;Accepted;
Adaptive Stream-based Shifting Bottleneck Detection in IoT-based Computing Architectures;H. {Najdataei} and M. {Subramaniyan} and V. {Gulisano} and A. {Skoogh} and M. {Papatriantafilou};;2019;IEEE Digital Library;993-1000;;inproceedings;10.1109/ETFA.2019.8868962;;;;Accepted;
Cross-layer anomaly detection in industrial cyber-physical systems;H. {Sándor} and B. {Genge} and P. {Haller} and A. {Duka} and B. {Crainicu};;2017;IEEE Digital Library;1-5;;inproceedings;10.23919/SOFTCOM.2017.8115523;;;;Accepted;
A solution for processing supply chain events within ontology-based descriptions;B. R. {Ferrer} and W. M. {Mohammed} and J. L. M. {Lastra};;2016;IEEE Digital Library;4877-4883;;inproceedings;10.1109/IECON.2016.7793020;;;;Duplicated;
Advanced CPS Service Oriented Architecture for Smart Injection Molding and Molds 4.0;H. R. {Siller} and D. {Romero} and R. J. {Rabelo} and E. {Vazquez};;2018;IEEE Digital Library;428-434;;inproceedings;10.1109/IS.2018.8710575;;;;Accepted;
Cloud-Based Disaster Management as a Service: A Microservice Approach for Hurricane Twitter Data Analysis;A. A. {Khaleq} and I. {Ra};;2018;IEEE Digital Library;1-8;;inproceedings;10.1109/GHTC.2018.8601887;;;;Accepted;
Cloud systems and big data processing for environmental telemetry;G. {Suciu} and V. {Suciu} and S. {Halunga} and O. {Fratu} and B. {Anggorojati};;2014;IEEE Digital Library;1-4;;inproceedings;10.1109/ICATE.2014.6972676;;;;Accepted;
Model Based Energy Consumption Analysis of Wireless Cyber Physical Systems;J. {Liu} and P. {Wang} and J. {Lin} and C. {Chu};;2017;IEEE Digital Library;219-224;;inproceedings;10.1109/BigDataSecurity.2017.53;;;;Rejected;
Human-centered application using cyber-physical production system;J. {Reis} and R. {Pinto} and G. {Gonçalves};;2017;IEEE Digital Library;8634-8639;;inproceedings;10.1109/IECON.2017.8217517;;;;Accepted;
LATTICE: A Framework for Optimizing IoT System Configurations at the Edge;V. {Issarny} and B. {Billet} and G. {Bouloukakis} and D. {Florescu} and C. {Toma};;2019;IEEE Digital Library;1797-1805;;inproceedings;10.1109/ICDCS.2019.00178;;;;Rejected;
A Manufacturing Big Data Solution for Active Preventive Maintenance;J. {Wan} and S. {Tang} and D. {Li} and S. {Wang} and C. {Liu} and H. {Abbas} and A. V. {Vasilakos};IEEE Transactions on Industrial Informatics;2017;IEEE Digital Library;2039-2047;13;article;10.1109/TII.2017.2670505;;;;Accepted;
SeDaTiVe: SDN-Enabled Deep Learning Architecture for Network Traffic Control in Vehicular Cyber-Physical Systems;A. {Jindal} and G. S. {Aujla} and N. {Kumar} and R. {Chaudhary} and M. S. {Obaidat} and I. {You};IEEE Network;2018;IEEE Digital Library;66-73;32;article;10.1109/MNET.2018.1800101;;;;Accepted;
IoT architecture for urban agronomy and precision applications;A. {Ordoñez-García} and M. {Siller} and O. {Begovich};;2017;IEEE Digital Library;1-4;;inproceedings;10.1109/ROPEC.2017.8261582;;;;Accepted;
Systems Security Research at Politecnico di Milano;F. {Maggi} and S. {Zanero};;2011;IEEE Digital Library;127-130;;inproceedings;10.1109/SysSec.2011.30;;;;Rejected;
IFCIoT: Integrated Fog Cloud IoT: A novel architectural paradigm for the future Internet of Things.;A. {Munir} and P. {Kansakar} and S. U. {Khan};IEEE Consumer Electronics Magazine;2017;IEEE Digital Library;74-82;6;article;10.1109/MCE.2017.2684981;;;;Accepted;
Autonomous Driving Vehicle Controlling Network Using Dynamic Migrated Edge Computer Function;N. {Yamanaka} and G. {Yamamoto} and S. {Okamoto} and T. {Muranaka} and A. {Fumagalli};;2019;IEEE Digital Library;1-4;;inproceedings;10.1109/ICTON.2019.8840520;;;;Accepted;
Keynote speech;Jie Liu;;2013;IEEE Digital Library;xvi-xvi;;inproceedings;10.1109/RTSS.2013.47;;;;Rejected;
IoT Data Integrity Verification for Cyber-Physical Systems Using Blockchain;C. {Machado} and A. A. {Medeiros Fröhlich};;2018;IEEE Digital Library;83-90;;inproceedings;10.1109/ISORC.2018.00019;;;;Rejected;
An architecture for privacy-preserving sharing of CTI with 3rd party analysis services;F. {Giubilo} and A. {Sajjad} and M. {Shackleton} and D. W. {Chadwick} and W. {Fan} and R. {de Lemos};;2017;IEEE Digital Library;293-297;;inproceedings;10.23919/ICITST.2017.8356404;;;;Accepted;
Big Data in Wisdom Manufacturing for Industry 4.0;J. {Zhou} and X. {Yao} and J. {Zhang};;2017;IEEE Digital Library;107-112;;inproceedings;10.1109/ES.2017.24;;;;Accepted;
Integration of SCADA services in cross-infrastructure holistic tests of cyber-physical energy systems;V. H. {Nguyen} and T. {Lam Nguyen} and Q. T. {Tran} and Y. {Besanger} and R. {Caire};;2019;IEEE Digital Library;1-5;;inproceedings;10.1109/EEEIC.2019.8783313;;;;Accepted;
Modern Hardware Margins: CPUs, GPUs, FPGAs Recent System-Level Studies;D. {Gizopoulos} and G. {Papadimitriou} and A. {Chatzidimitriou} and V. J. {Reddi} and B. {Salami} and O. S. {Unsal} and A. C. {Kestelman} and J. {Leng};;2019;IEEE Digital Library;129-134;;inproceedings;10.1109/IOLTS.2019.8854386;;;;Rejected;
A Comparison of OPC UA Semantic Web Languages for the purpose of Industrial Automation Applications;M. {Majumder} and L. {Wisniewski} and C. {Diedrich};;2019;IEEE Digital Library;1297-1300;;inproceedings;10.1109/ETFA.2019.8869113;;;;Duplicated;
Comparison of Approaches for Self-Improvement in Self-Adaptive Systems;C. {Krupitzer} and F. M. {Roth} and M. {Pfannemüller} and C. {Becker};;2016;IEEE Digital Library;308-314;;inproceedings;10.1109/ICAC.2016.18;;;;Rejected;
ANGELS for distributed analytics in IoT;A. {Mukherjee} and H. S. {Paul} and S. {Dey} and A. {Banerjee};;2014;IEEE Digital Library;565-570;;inproceedings;10.1109/WF-IoT.2014.6803230;;;;Accepted;
A Robust Dynamic Edge Network Architecture for the Internet of Things;B. {Lorenzo} and J. {Garcia-Rois} and X. {Li} and J. {Gonzalez-Castano} and Y. {Fang};IEEE Network;2018;IEEE Digital Library;8-15;32;article;10.1109/MNET.2018.1700263;;;;Rejected;
Micro-Intelligence for the IoT: SE Challenges and Practice in LPaaS;R. {Calegari} and G. {Ciatto} and S. {Mariani} and E. {Denti} and A. {Omicini};;2018;IEEE Digital Library;292-297;;inproceedings;10.1109/IC2E.2018.00061;;;;Accepted;
An Industry 4.0-Enabled Low Cost Predictive Maintenance Approach for SMEs;E. {Sezer} and D. {Romero} and F. {Guedea} and M. {Macchi} and C. {Emmanouilidis};;2018;IEEE Digital Library;1-8;;inproceedings;10.1109/ICE.2018.8436307;;;;Accepted;
Research Challenges on 2-D and 3-D Network-on-Chips;H. {Matsutani};;2013;IEEE Digital Library;24-25;;inproceedings;10.1109/CANDAR.2013.12;;;;Rejected;
Fog computing middleware for distributed cooperative data analytics;J. {Clemente} and M. {Valero} and J. {Mohammadpour} and X. {Li} and W. {Song};;2017;IEEE Digital Library;1-6;;inproceedings;10.1109/FWC.2017.8368520;;;;Accepted;
Blockchain Cloud Manufacturing: Shop Floor and Machine Level;A. {Vatankhah Barenji} and Z. {Li} and W. M. {Wang};;2018;IEEE Digital Library;1-6;;inproceedings;;;;;Duplicated;
Statistical Dissemination Control in Large Machine-to-Machine Communication Networks;S. {Lin} and L. {Gu} and K. {Chen};IEEE Transactions on Wireless Communications;2015;IEEE Digital Library;1897-1910;14;article;10.1109/TWC.2014.2376952;;;;Accepted;
Power- and Time-Aware Deep Learning Inference for Mobile Embedded Devices;W. {Kang} and J. {Chung};IEEE Access;2019;IEEE Digital Library;3778-3789;7;article;10.1109/ACCESS.2018.2887099;;;;Rejected;
5G networks: End-to-end architecture and infrastructure [Guest Editorial];D. {Soldani} and K. {Pentikousis} and R. {Tafazolli} and D. {Franceschini};IEEE Communications Magazine;2014;IEEE Digital Library;62-64;52;article;10.1109/MCOM.2014.6957144;;;;Rejected;
Message from the Program Co-Chairs;;;2012;IEEE Digital Library;xviii-xviii;;inproceedings;10.1109/ICPADS.2012.6;;;;Rejected;
Cyber physical system based proactive collaborative maintenance;G. {Papa};;2016;IEEE Digital Library;7-7;;inproceedings;10.1109/SST.2016.7765622;;;;Accepted;
[Title page i];;;2015;IEEE Digital Library;i-i;;inproceedings;10.1109/PRDC.2015.1;;;;Rejected;
Table of contents;;;2014;IEEE Digital Library;iii-x;;inproceedings;10.1109/ICHPCA.2014.7045288;;;;Rejected;
[Copyright notice];;;2011;IEEE Digital Library;1-1;;inproceedings;10.1109/SOCA.2011.6166195;;;;Rejected;
[Front cover];;;2009;IEEE Digital Library;C1-C1;;inproceedings;10.1109/ISORC.2009.57;;;;Rejected;
[Title page];;;2011;IEEE Digital Library;i-i;;inproceedings;;;;;Rejected;
[Title page];;;2012;IEEE Digital Library;1-1;;inproceedings;10.1109/SOCA.2012.6449419;;;;Rejected;
Thing-Based Service-Oriented Architecture for Industry 4.0;Kho, F.Z.E. and Aknin, N.;Lecture Notes in Networks and Systems;2020;Scopus;289-300;92;article;10.1007/978-3-030-33103-0_29;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073525226&doi=10.1007%2f978-3-030-33103-0_29&partnerID=40&md5=c6fd360be0f3144e2bbaeb2f41348517;;;Accepted;
Adaptive Stream-based Shifting Bottleneck Detection in IoT-based Computing Architectures;Najdataei, H. and Subramaniyan, M. and Gulisano, V. and Skoogh, A. and Papatriantafilou, M.;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;2019;Scopus;993-1000;2019-September;conference;10.1109/ETFA.2019.8868962;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074209890&doi=10.1109%2fETFA.2019.8868962&partnerID=40&md5=734ab71e1d29c056c9f2cc77b99fa982;;;Duplicated;
A Comparison of OPC UA & Semantic Web Languages for the purpose of Industrial Automation Applications;Majumder, M. and Wisniewski, L. and Diedrich, C.;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;2019;Scopus;1297-1300;2019-September;conference;10.1109/ETFA.2019.8869113;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074187609&doi=10.1109%2fETFA.2019.8869113&partnerID=40&md5=1825c80e350a7318bad0ea872bc37356;;;Rejected;
Cyber-physical cloud computing system for monitoring lng leakage in pipelines;Jacinto, C. and Lopez, F.M.S. and Villota Cerna, E.R.;Proceedings of the 2019 IEEE 26th International Conference on Electronics, Electrical Engineering and Computing, INTERCON 2019;2019;Scopus;;;conference;10.1109/INTERCON.2019.8853629;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073502905&doi=10.1109%2fINTERCON.2019.8853629&partnerID=40&md5=e9ea8b76457fbb3489c034477bb80c9a;;;Accepted;
Integrated system architecture for decision-making and urban planning in smart cities;Pires, F.M. and Mendes, L.D.S. and Quiñonez, L.L.;International Journal of Distributed Sensor Networks;2019;Scopus;;15;article;10.1177/1550147719867829;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071296353&doi=10.1177%2f1550147719867829&partnerID=40&md5=ac8a651e3a1afb1730618d59df7499f8;;;Accepted;
Cyber-Physical Manufacturing Systems for Industry 4.0: Architectural Approach and Pilot Case;Prist, M. and Monteriu, A. and Freddi, A. and Pallotta, E. and Cicconi, P. and Giuggioloni, F. and Caizer, E. and Verdini, C. and Longhi, S.;2019 IEEE International Workshop on Metrology for Industry 4.0 and IoT, MetroInd 4.0 and IoT 2019 - Proceedings;2019;Scopus;219-224;;conference;10.1109/METROI4.2019.8792880;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071596772&doi=10.1109%2fMETROI4.2019.8792880&partnerID=40&md5=41c3f46f39eef1dbd6bff00318599c94;;;Accepted;
Research on a security enhancement system for cloud service of cloud computing environment;Cho, Y.-S. and Na, W.;International Journal of Innovative Technology and Exploring Engineering;2019;Scopus;926-933;8;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068816227&partnerID=40&md5=72c009b1847d5c1708247eda9517e8c1;;;Rejected;
Fog/edge computing-based IoT (FECIoT): Architecture, applications, and research issues;Omoniwa, B. and Hussain, R. and Javed, M.A. and Bouk, S.H. and Malik, S.A.;IEEE Internet of Things Journal;2019;Scopus;4118-4149;6;article;10.1109/JIOT.2018.2875544;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054696546&doi=10.1109%2fJIOT.2018.2875544&partnerID=40&md5=c0eb9ca3de5abd61df5636ab7fc5b3fb;;;Accepted;
WIPI: An Extendable Edge Platform for Building Time-critical Cyber-Physical-Human Systems;Asif Hasan, M.D. and Chen, H. and Lin, Y. and Liu, X.;ACM International Conference Proceeding Series;2019;Scopus;;;conference;10.1145/3321408.3321412;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072826916&doi=10.1145%2f3321408.3321412&partnerID=40&md5=087f85ffca1d332e736c374a6b927713;;;Duplicated;
A novel fluid architecture for cyber-physical production systems;Beregi, R. and Pedone, G. and Mezgár, I.;International Journal of Computer Integrated Manufacturing;2019;Scopus;340-351;32;article;10.1080/0951192X.2019.1571239;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062345273&doi=10.1080%2f0951192X.2019.1571239&partnerID=40&md5=72af5e84c1094c9f2065c151600f06ab;;;Rejected;
Proceedings - 13th IEEE International Conference on Service-Oriented System Engineering, SOSE 2019, 10th International Workshop on Joint Cloud Computing, JCC 2019 and 2019 IEEE International Workshop on Cloud Computing in Robotic Systems, CCRS 2019;;Proceedings - 13th IEEE International Conference on Service-Oriented System Engineering, SOSE 2019, 10th International Workshop on Joint Cloud Computing, JCC 2019 and 2019 IEEE International Workshop on Cloud Computing in Robotic Systems, CCRS 2019;2019;Scopus;;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065986457&partnerID=40&md5=1e10b59c0626b05e17241cfd4d02aa11;;;Rejected;
Development of a predictive maintenance platform for cyber-physical systems;Yang, F.-N. and Lin, H.-Y.;Proceedings - 2019 IEEE International Conference on Industrial Cyber Physical Systems, ICPS 2019;2019;Scopus;331-335;;conference;10.1109/ICPHYS.2019.8780144;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070923195&doi=10.1109%2fICPHYS.2019.8780144&partnerID=40&md5=a70b2d888aeadf7d8887c62574dbaf1c;;;Accepted;
An architecture model for smart farming;Triantafyllou, A. and Tsouros, D.C. and Sarigiannidis, P. and Bibi, S.;Proceedings - 15th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2019;2019;Scopus;385-392;;conference;10.1109/DCOSS.2019.00081;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071913368&doi=10.1109%2fDCOSS.2019.00081&partnerID=40&md5=22cc32c905752ccd783089d5187e7ffc;;;Accepted;
CPS data streams analytics based on machine learning for Cloud and Fog Computing: A survey;Fei, X. and Shah, N. and Verba, N. and Chao, K.-M. and Sanchez-Anguix, V. and Lewandowski, J. and James, A. and Usman, Z.;Future Generation Computer Systems;2019;Scopus;435-450;90;article;10.1016/j.future.2018.06.042;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052235351&doi=10.1016%2fj.future.2018.06.042&partnerID=40&md5=562f5fb2e3958577ef6d14dbf163f2fd;;;Rejected;
Semantic Integration of Plug-and-Play Software Components for Industrial Edges Based on Microservices;Dai, W. and Wang, P. and Sun, W. and Wu, X. and Zhang, H. and Vyatkin, V. and Yang, G.;IEEE Access;2019;Scopus;125882-125892;7;article;10.1109/ACCESS.2019.2938565;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072563123&doi=10.1109%2fACCESS.2019.2938565&partnerID=40&md5=cb822540c4d55ccbdd79370405e04ef1;;;Accepted;
Decision-oriented composition architecture for digital transformation;Zimmermann, A. and Schmidt, R. and Sandkuhl, K. and Jugel, D. and Bogner, J. and Möhring, M.;Smart Innovation, Systems and Technologies;2019;Scopus;109-119;97;article;10.1007/978-3-319-92028-3_11;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048189773&doi=10.1007%2f978-3-319-92028-3_11&partnerID=40&md5=71b648bf8af78a68afcf072b74eb7e5d;;;Rejected;
Multiple perspectives of digital enterprise architecture;Zimmermann, A. and Schmidt, R. and Sandkuhl, K.;ENASE 2019 - Proceedings of the 14th International Conference on Evaluation of Novel Approaches to Software Engineering;2019;Scopus;547-554;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067504378&partnerID=40&md5=ffd369ab0498f684de9296c31991c72e;;;Rejected;
Enabling the human in the loop: Linked data and knowledge in industrial cyber-physical systems;Emmanouilidis, C. and Pistofidis, P. and Bertoncelj, L. and Katsouros, V. and Fournaris, A. and Koulamas, C. and Ruiz-Carcel, C.;Annual Reviews in Control;2019;Scopus;249-265;47;article;10.1016/j.arcontrol.2019.03.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062895207&doi=10.1016%2fj.arcontrol.2019.03.004&partnerID=40&md5=b98c215a4b22547fe498e9cbe469b6ba;;;Accepted;
Transformation to Advanced Mechatronics Systems Within New Industrial Revolution: A Novel Framework in Automation of Everything (AoE);K. {Kuru} and H. {Yetgin};IEEE Access;2019;IEEE Digital Library;41395-41415;7;article;10.1109/ACCESS.2019.2907809;;;;Accepted;
Orchestration of Microservices for IoT Using Docker and Edge Computing;M. {Alam} and J. {Rufino} and J. {Ferreira} and S. H. {Ahmed} and N. {Shah} and Y. {Chen};IEEE Communications Magazine;2018;IEEE Digital Library;118-123;56;article;10.1109/MCOM.2018.1701233;;;;Accepted;
ANASTACIA: Advanced networked agents for security and trust assessment in CPS IoT architectures;S. {Ziegler} and A. {Skarmeta} and J. {Bernal} and E. E. {Kim} and S. {Bianchi};;2017;IEEE Digital Library;1-6;;inproceedings;10.1109/GIOTS.2017.8016285;;;;Accepted;
A Multi-layered Distributed Cloud Network for Cyber-Physical Energy System;L. {Yang} and X. {Guan} and J. {Wu} and S. {Dai};;2018;IEEE Digital Library;402-407;;inproceedings;10.1109/COASE.2018.8560483;;;;Accepted;
A cloud-based Cyber-Physical System for environmental monitoring;T. {Sanislav} and G. {Mois} and S. {Folea} and L. {Miclea} and G. {Gambardella} and P. {Prinetto};;2014;IEEE Digital Library;6-9;;inproceedings;10.1109/MECO.2014.6862654;;;;Accepted;
MOPED: A Mobile Open Platform for Experimental Design of Cyber-Physical Systems;J. {Axelsson} and A. {Kobetski} and Z. {Ni} and S. {Zhang} and E. {Johansson};;2014;IEEE Digital Library;423-430;;inproceedings;10.1109/SEAA.2014.38;;;;Accepted;
Probabilistic Threat Detection for Risk Management in Cyber-physical Medical Systems;A. {Rao} and N. {Carreón} and R. {Lysecky} and J. {Rozenblit};IEEE Software;2018;IEEE Digital Library;38-43;35;article;10.1109/MS.2017.4541031;;;;Accepted;
MIST: Mobility-inspired software-defined fog system;H. {Gebre-Amlak} and {Seoungjin Lee} and A. M. A. {Jabbari} and {Yu Chen} and {Baek-Young Choi} and {Chin-Tser Huang} and {Sejun Song};;2017;IEEE Digital Library;94-99;;inproceedings;10.1109/ICCE.2017.7889243;;;;Accepted;
Emerging Security Mechanisms for Medical Cyber Physical Systems;O. {Kocabas} and T. {Soyata} and M. K. {Aktas};IEEE/ACM Transactions on Computational Biology and Bioinformatics;2016;IEEE Digital Library;401-416;13;article;10.1109/TCBB.2016.2520933;;;;Accepted;
CASOA: An Architecture for Agent-Based Manufacturing System in the Context of Industry 4.0;H. {Tang} and D. {Li} and S. {Wang} and Z. {Dong};IEEE Access;2018;IEEE Digital Library;12746-12754;6;article;10.1109/ACCESS.2017.2758160;;;;Accepted;
A software defined hierarchical communication and data management architecture for industry 4.0;M. C. {Lucas-Estañ} and T. P. {Raptis} and M. {Sepulcre} and A. {Passarella} and C. {Regueiro} and O. {Lazaro};;2018;IEEE Digital Library;37-44;;inproceedings;10.23919/WONS.2018.8311660;;;;Accepted;
Petri Net-based Power CPS Network Attack and Impact Modeling;Y. {Xu} and R. {Fu};;2018;IEEE Digital Library;1107-1110;;inproceedings;10.1109/CCIS.2018.8691321;;;;Accepted;
A Container-based Architecture for Real-Time Control Applications;T. {Tasci} and J. {Melcher} and A. {Verl};;2018;IEEE Digital Library;1-9;;inproceedings;10.1109/ICE.2018.8436369;;;;Accepted;
Smart Stream-Based Car Information Systems that Scale: An Experimental Evaluation;P. M. {Grulich} and O. {Zukunft};;2017;IEEE Digital Library;1030-1037;;inproceedings;10.1109/iThings-GreenCom-CPSCom-SmartData.2017.181;;;;Accepted;
Architectural Design for Special Load Carriers as Smart Objects in a Cloud-based Service System;J. {Zeiler} and J. {Fottner};;2019;IEEE Digital Library;644-652;;inproceedings;10.1109/IEA.2019.8714890;;;;Accepted;
Middleware Platform for Distributed Applications Incorporating Robots, Sensors and the Cloud;E. D. {Coninck} and S. {Bohez} and S. {Leroux} and T. {Verbelen} and B. {Vankeirsbilck} and B. {Dhoedt} and P. {Simoens};;2016;IEEE Digital Library;218-223;;inproceedings;10.1109/CloudNet.2016.23;;;;Accepted;
Cross-infrastructure holistic experiment design for cyber-physical energy system validation;V. H. {Nguyen} and Q. T. {Tran} and Y. {Besanger} and T. L. {Nguyen} and T. T. {Hoang} and C. {Boudinnet} and A. {Labonne} and T. {Braconnier} and H. {Buttin};;2018;IEEE Digital Library;68-73;;inproceedings;10.1109/ISGT-Asia.2018.8467943;;;;Accepted;
Optimistic Modeling and Simulation of Complex Hardware Platforms and Embedded Systems on Many-Core HPC Clusters;A. {Poshtkohi} and M. B. {Ghaznavi-Ghoushchi} and K. {Saghafi};IEEE Transactions on Parallel and Distributed Systems;2019;IEEE Digital Library;428-444;30;article;10.1109/TPDS.2018.2860014;;;;Accepted;
Improving maintenance processes with distributed monitoring systems;H. {Fleischmann} and J. {Kohl} and J. {Franke} and A. {Reidt} and M. {Duchon} and H. {Krcmar};;2016;IEEE Digital Library;377-382;;inproceedings;10.1109/INDIN.2016.7819189;;;;Accepted;
Architecture for the interconnection of prototypical medical instrument via cloud services;D. F. {Carvalho} and P. {Bellagente} and A. {Depari} and P. {Ferrari} and A. {Flammini} and S. {Rinaldi} and E. {Sisinni};;2019;IEEE Digital Library;1-6;;inproceedings;10.1109/I2MTC.2019.8827081;;;;Accepted;
ANGELS: A framework for mobile grids;P. {Datta} and S. {Dey} and H. S. {Paul} and A. {Mukherjee};;2014;IEEE Digital Library;15-20;;inproceedings;10.1109/AIMOC.2014.6785513;;;;Accepted;
Big-Sensor-Cloud Infrastructure: A Holistic Prototype for Provisioning Sensors-as-a-Service;S. {Chatterjee} and A. {Roy} and S. K. {Roy} and S. {Misra} and M. {Bhogal} and R. {Daga};IEEE Transactions on Cloud Computing;2019;IEEE Digital Library;1-1;;article;10.1109/TCC.2019.2908820;;;;Accepted;
Data and Decision Intelligence for Internet of Things: Putting Human in the Loop;M. {Ma} and W. {Lin} and D. {Pan} and P. {Wang} and Y. {Zhou} and X. {Liang};;2017;IEEE Digital Library;190-195;;inproceedings;10.1109/BigDataSecurity.2017.49;;;;Accepted;
Software Containers for Industrial Control;T. {Goldschmidt} and S. {Hauck-Stattelmann};;2016;IEEE Digital Library;258-265;;inproceedings;10.1109/SEAA.2016.23;;;;Accepted;
A small-scale model house evaluation platform for building automation systems;M. {Burkert} and J. {Esdohr} and H. {Krumm};;2016;IEEE Digital Library;1-8;;inproceedings;10.1109/ETFA.2016.7733690;;;;Accepted;
Virtualized Control Over Fog: Interplay Between Reliability and Latency;H. {Inaltekin} and M. {Gorlatova} and M. {Chiang};IEEE Internet of Things Journal;2018;IEEE Digital Library;5030-5045;5;article;10.1109/JIOT.2018.2881202;;;;Accepted;
An Information Framework for Creating a Smart City Through Internet of Things;J. {Jin} and J. {Gubbi} and S. {Marusic} and M. {Palaniswami};IEEE Internet of Things Journal;2014;IEEE Digital Library;112-121;1;article;10.1109/JIOT.2013.2296516;;;;Accepted;
19th International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation, SAMOS 2019;;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2019;Scopus;;11733 LNCS;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071515326&partnerID=40&md5=7ccdfa2c211e18149b9dd7be1486984c;;;Rejected;
International Conference on Communications and Cyber Physical Engineering, ICCCE 2018;;Lecture Notes in Electrical Engineering;2019;Scopus;;500;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053612739&partnerID=40&md5=836fcc050ca32933bc1232e54294dfb2;;;Rejected;
A comprehensive survey of security threats and their mitigation techniques for next-generation SDN controllers;Han, T. and Jan, S.R.U. and Tan, Z. and Usman, M. and Jan, M.A. and Khan, R. and Xu, Y.;Concurrency Computation;2019;Scopus;;;article;10.1002/cpe.5300;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064701086&doi=10.1002%2fcpe.5300&partnerID=40&md5=fc246411fc3ea1327dac2c9b372d391a;;;Rejected;
